,index,Unnamed: 0,내용
0,0,0,감사원 월성원전 이어 새만금 태양광 사업 감사 감사원 월성원전 이어 새만금 태양광 사업 감사 한수원 2차례 사전감사 후 결정 사업특혜·환경오염 2가지 부문 월성 1호기 조기 폐쇄에 이어 한수원 두번째 감사받는 신세 새만금 수상 태양광 사업에 대해 감사원이 곧 감사에 나설 것으로 11일 알려졌다 이 사업은 202108125277 현장추적 새똥 범벅 태양광 패널…제대로 발전 되겠어요 앵커정부가 새만금 방조제에 세계 최대 규모의 태양광 발전소를 건설할 계획입니다 지금은 본격 사업에 앞서 패널이 시범 설치돼 있는데 새 배 202108122021081290129 새만금 철새들과 새들이 많이 사는 곳이라 수상태양광 경제성이 있으려나요
1,1,1,지방도시들의 경우 도시성장에 중요한 역할이 되기 때문에 다들 기를 쓰고 유치하려고 하는 것 같은데 막상 인접한 주민들은 각종 환경오염 문제 때문에 싫어하는 것 같습니다 산업단지도 산업단지 나름이지만
2,2,2,존버하면 26층 올까요 손절할까말까 진지하게 고민하고 있습니다 여유자금이라 존버는 가능한데 막 3년뒤에 5만원 이렇게 갈까봐 겁나서요 실적에 대한 걱정은 없지만 환경오염문제이슈때문에 때리기 시작하면 굴뚝주들 박살나는중이지만 더 개박살날것같아서요 수급이 너무 꼬여 있어서 공매 모건 쓰기새끼들 다 뒤졌으면
3,3,3,1 태양광 이것도 요즘 비판 많이 받던데요 산깎아서 자연 훼손해서 만든다고 그래서 이명박근혜 시절에 설치한거라고 책임 떠넘기던데 2 지금처럼 화력발전 풀가동 이것또한 미세먼지로 인한 환경오염이랑 탄소 왕창 배출해서 현재하고 있는 저탄소 정책이랑 배치되지 않나요 탈원전이면 그 대안이 뭔지 궁금합니다 전기 안쓰자가 대안이진 않을테고
4,4,4,최근 도쿄올림픽이 진행되고 있는 가운데 트라이애슬론 경기에 대한 논란이 계속해서 일고 있습니다 철인 3종경기트라이애슬론은 수영으로 경기를 시작하는데 이번 도쿄올림픽 수영 코스가 바로 도쿄만이기 때문입니다 올림픽 전에도 꾸준히 ‘똥물’논란이 있었던 이곳에서 결국 시합이 열렸고 많은 선수들이 악취와 오물 더러운 수질로 인해 구토를 하는 등 심각한 상태를 보여준 것입니다 ‘똥물’에서 수영하고 나온 뒤 구토하며 고통스러워 한 ‘철인 3종 경기’ 선수들 2020 도쿄올림픽 트라이애슬론 선수들이 경기 직후 구토를 하는 모습이 카메라에 포착됐다 350423 그렇다면 왜 도쿄만은 똥물의 바다가 된 것일까 원인은 크게 3가지 ▲오다이바를 위시로 하는 도쿄의 산업적 성장에 의한 환경오염 ▲하수철리시설의 노후화와 미처리 오수 방류를 외면하는 정부 ▲도쿄만 특유의 지리전 요건 때문입니다 첫 번째 요인은 단연 버블경제를 둘러싼 산업적 성장으로 인한 폐해입니다 아주 옛날 이야기이지만거의 메이지유신 전 에도시대 원래 도쿄만은 물고기가 많이 사는 바다였다고 합니다 특히 상당히 많은 어종들이 잡히는 곳이었기 때문에 어획량도 풍부했으며 물고기의 질 자체가 많은 호평을 받았었다고 합니다 역사적으로 이곳에서 잡힌 물고기들이 훌륭했다는 기록이 상당히 많았었다고 하네요 그러던 것이 메이지유신 이후 많은 것이 바뀌게 됩니다 도쿄항과 요코하마항을 개항하고 외국과의 교류가 활발하게 이루어지면서 급속도로 성장을 시작합니다 그리고 1990년대 게이힌 공업지대가 발달함과 동시에 산업시설이 급속도로 팽창을 하게 되면서 중점적으로 근교지역의 도시화가 진행되면서 지역 인구가 폭발적으로 늘어나기 시작했습니다 당연히 도시화 발전이 이루어질 수밖에 없었겠죠 이 때부터 각종 산업폐수와 생활하수 쓰레기 매립 등이 이루어지고 이것을 무분별하게 바다에 방류를 하면서 심각한 도쿄만 오염이 시작됩니다 그리고 이것을 컨트롤해야 하는 오수처리장 문제를 해결하지 않으면서 이제는 물고기가 살 수 없는 죽음의 바다가 되었습니다 일본 내에서도 도쿄만을 어떻게 여기고 있는지는 각종 서브컬처를 통해 아주 잘 드러나고 있는데요 대표적인 케이스가 츠키지 어시장에서 중간 도매점을 위해 노력하는 주인공의 분투기를 그린 ‘어시장 3대째’입니다 귀한 물고기들을 언급할 때 항상 도쿄만의 오염에 대해 탄식하고 이를 비판하고 있고 미스터 초밥왕 등 생선회나 초밥을 다루는 음식 만화들에서도 이러한 표현들은 시시때때로 나오는 모습을 쉽게 볼 수 있습니다 더 파이팅에서도 오키나와에서 시합을 위해 올라온 시마부쿠로가 힘이 빠진다면서 도쿄만을 찾아갔다가 그 오염도에 크게 실망하는 모습을 그리기도 했죠 이러한 산업 발전으로 인한 도쿄만 오염의 트레이드마크는 단연 오다이바입니다 1980년대 버블경제 시기에 원래의 목적이었던 포대외세의 함대들을 막기 위한 포대였음를 매립해버리고 인공 섬이자 신도시를 만든 것인데 버블경제와 신도시 개발이 합쳐지자 엄청난 부동산 거품이 끼고 광속 개발이 이루어진 곳입니다 이 때 개발 후폭풍으로 인한 환경오염이 엄청나게 심각해지게 됩니다 특히 부동산버블이 꺼지고 난 뒤에 1990년대에는 상업과 거주 레저를 목적으로 한 복합지역으로의 발전이 이루어지면서 현재는 도쿄를 방문하는 사람들이 거치지 않을 수 없는 유명한 관광지로 재탄생 된 상황입니다 그런데 이곳을 개발하는 데 있어서 발생하는 오수 문제가 심각합니다 사실상 도쿄만은 내해라고 할 수 있는데 가뜩이나 안쪽으로 들어와 있는 바다를 인공섬 개발한답시고 해안선 만쪽을 막아놓고 개발을 하다보니까 밀물과 썰물의 흐름이 더 좋지 않아져 오수가 빠지지 않고 악취가 심해지는 사태가 발생합니다 이곳은 미나토구港区 시나가와구品川区 고토구江東区에 위치해 있는데 거지 같은 하수처리 시스템과 맞물려 그야말로 슈퍼똥물이 되어버린 상황입니다 업무지구로 용도를 변경한 것도 높은 가격의 고급 맨션에 입주한 사람들이 오수로 인한 불평불만이 많아지다 보니 집값 하락의 원인이 되어서 이를 해결하기 위해 사람이 상주하지 않는 시간에 오수를 잔뜩 처리하기 위한 것이었죠 오죽하면 관광을 위해 이곳을 방문하는 사람들이 ‘물 쪽으로는 가지 마라’고 말하고 해수욕은 언감생심 꿈도 꾸지 말라고 조언합니다 비슷한 방식으로 인공섬 개발을 한 베네치아와 똥물로는 견줘 비견할 자가 없을 정도라고 하죠 두 번째 요인은 1932년도에 오픈한 시바우라 물재생센터를 위시한 하수처리 시스템이 낡고 노후화되었음에도 불구하고 이 인프라를 개선할 계획이나 혹은 예산이 없다는 것에 있습니다 일본은 근대화 이후 합류식하수도를 도입해 왔습니다 도시 대부분이 연안지역의 평탄한 지형에 입지해 있고 재정상의 어려움으로 인한 불가피한 성격이었는데 도입 처음에는 빗물과 오수를 함께 관리해 빠르게 제거하는 합류식하수도에 대한 장점은 매우 효율적이라고 평가받았다고 합니다 하지만 언제나 문제는 닌겐도모메의 욕심…1960년경부터 시작된 고도경제성장과 급속한 도시화의 전개로 인해 환경문제가 발생하는데 산업단지와 공업단지에서 생산하는 오수들은 물론 도시화로 인해 몰려든 사람들이 생산하는 오수를 처리하지 못하는 사태에 이르게 되자 시민사회에서 지속적인 문제 제기가 이루어지게 됩니다 물론 1970년에 하수도법이 개정되어 하수도의 목적에 ‘공공수역의 수질보전에 기여해야 한다’는 조항이 추가되었지만 이것은 그냥 말만 있을 뿐 실질적으로 아무런 조치가 취해지지 않았습니다 산업폐기물을 방류하고 오수를 쏟아 부은 날이 하루이틀이 아니라 아예 수십년이 지난 상황인 것입니다 우스갯소리로 조금만 더 지나면 이 짓을 한 게 100년에 달할지도 모른다라는 말이 나오는 수준입니다 당연히 저 따위 법조항 추가 수준으로 개선될 문제가 아닙니다 이 합류식하수도의 하수처리방식의 가장 큰 문제는 폭우가 올 때 비가 많이 올 때 일정용량 이상의 보관을 하지 못할 경우 우수에 희석된 하수를 우수토실이나 우수배수펌프장에서 공공수역으로 방류되는 구조로 되어 있다는 것입니다 즉 폭우로 인해 처리 한도를 넘기면 그냥 하수를 처리하지 않고 도쿄만으로 바다로 방류한다는 소리 말하자면 ‘빗물 섞인 똥물’을 바다에 그냥 버리고 있는 것입니다 그리고 시바우라 물재생센터는 낡을 대로 낡아서 비만 왔다 하면 한계가 넘친다고 합니다 결국 이로 인해 배출된 하수가 도쿄만으로 흘러들게 되고 지형상 이것이 고여 있으니 똥물이 될 수밖에 없는 것입니다 한 마디로 말하자면 거대한 변기… 위 영상은 미나토구의 국회의원 에노모토 시게루가 촬영한 영상인데저기서 보이는 흰색은 바로 휴지입니다 즉 전혀 오수처리를 하지 않았단 소리 그가 발표한 보고서에 따르면 구식 하수종말처리시설에서 저 똥물을 방류하는 것이 연간 약 120회이고 3일에 한번씩 뿜어내고 있는 수준이라고 합니다 이런 상황에서 도쿄만 특유의 지형적 문제로 인해 이게 계속 고여 있는 상황인 것입니다 이런 문제가 꾸준히 지적된 지 벌써 수십년 전술한 바와 같이 1970년에 이미 하수도법이 개정되었으며 심지어 도쿄올림픽을 앞두고 이 문제의 솔루션이 계속해서 요구되어 왔지만 인구 100만이 살고 있는 도시의 50이상이 이 하수처리 방식을 갖추고 있기 때문에 손을 댈 엄두가 나지 않은 것이 사실입니다 일본은 십수년 째 제로성장을 하면서 인프라에 투자할 돈과 여력이 없는 상황인데 도쿄올림픽을 치르느라 그나마 있는 돈도 다 써버렸기 때문에여러 놈들이 올림픽 유치하고 해먹느라 환부에 메스를 댈 수가 없습니다 결국 이로 인해 트라이애슬론 선수들을 말 그대로 자국에서 생산한 똥물을 보관한 변기에 밀어 넣고 있는 상황인 것이죠 이를 체크하기 위해 2년 전 8월 11일 오전 도쿄도 미나토구 오다이바 해상 공원에서 ‘오픈워터 테스트 수영대회’를 개최했는데 이미 이곳에서 선수들이 물에서 나는 심한 악취와 화장실같은 냄새로 인해 힘들었고 앞을 볼 수 없음을 토로했다고 합니다 화장실 같은이 아니라 진짜 화장실 물이었다는 것은 이 선수들도 몰랐을 테죠 그리고 이곳에서 트라이애슬론과 마라톤 수영이 열리게 됩니다 우웩 아베네 형이 해먹은 돈이 얼마인지 모르겠지만 골판지 침대 만들 돈으로 이 문제를 해결했다면 선수들이 똥물을 들이키고 구토를 하는 일은 없었을텐데…참 여러모로 최악의 올림픽이 될 것 같습니다
5,5,5,한국전력 신임 사장은 신재생에너지를 늘려 에너지 효율을 높인다고 했는데 정말 아니라고 봅니다 뭔가 주관없고 자기 의지와는 다르게 눈치 보는 느낌 요즘 같은 초에너지 시대에 풍력 태양광으로 전력 수요를 대체 감당하기에는 어림도 없습니다 신재생에너지는 부수적으로 하는 거지 주력으로 믿고 추진하기에는 부작용이 많다고 봅니다 부작용으로는 발생하는 환경오염 태양광 패널 쓰레기 또 전력 공급 부족으로 정전이 많이 발생할 가능성이 높습니다 그나마 독일이 잘한다 하는데 독일은 이미 전기세 폭탄과 신재생에너지 실패입니다
6,6,6,취임 후 인국공을 찾아가 비정규직의 눈물을 보고 알바몬으로 취업한 사람들을 인국공 정직원으로 만들어줬다 그 후 떼쓰면 정규직 만들어주는 노력 없는 세상을 만들었다 민식이 떼법이 통과 되면서 운전자는 예비살인마가 됐다 배고픈 예술가들은 지원금 한번 받기도 힘든데 문ㅈㅇ이는 지원금을 수 차례 얄짤 없이 받았다 시장을 무시한 부동산 정책 때문에 집값은 유례 없는 폭등을 했다 임대차 3법이 통과 되면서 을이 갑질하는 세상이 됐고 동시에 전세가도 폭등 했다 최저임금을 급하게 올려서 전국 맥도날드 알바생들 중 절반이 짤렸다 탈원전 때문에 경제 10대 강국 대한민국에서 전기가 부족 하니 가정에서 전기 아껴쓰라는 소리를 듣게 됐다 방역 홍보 하느라 백신확보는 늦었고 이해가 안 가는 방역수칙으로 헬스장에서 박효신의 야생화를 틀게 만들었다 재난지원금 살포로 물가는 치솟았다 곧 야채김밥 한줄에 7천원 받을 듯 김밥천국 기준 반일선동을 하여 뜬금 없이 일본과 외교전쟁을 했고 만천하에 대한민국 국민의 냄비근성을 또 한번 홍보하는 사례를 남겼다 페미를 지지하다 개념 없는 여자들이 판치는 세상이 되버렸고 페미의 선봉에 섰던 박ㅇㅅ오ㄱㄷ안ㅎㅈ 등은 성범죄를 저질렀지만 희한하게 영웅으로 취급 받고 있다 위안부 할머니들 걱정해주는 척 하면서 뒤에선 후원금으로 집 사고 애들 유학 보내던 ㅇ미향이는 국회의원 됐고 아직도 잘 먹고 잘 살고 있다 최순실이 딸래미 인적사항은 에 올렸던 젖국은 정작 자기 딸 정보가 공개되자 고발하는 사태가 이르렀고 가붕개 라는 희대의 단어를 탄생 시킨다 민노총 8000명 집회는 괜찮고 보수집회는 개인 전화번호 따가며 전부 코로나 검사 받게 해서 확진자 폭등 원인으로 만들었다 그리고 환경오염을 걱정하며 탈원전을 외치더니 요즘은 원전을 찾으며 가동 준비 중이란다 모든게 감정적이고 모순덩어리 정책뿐들
7,7,7,쉽게 질리는 타입이라 초반 임팩트가 강하지 않으면 끝까지 못보는 스타일 입니다 초반 임팩트 지리는 애니좀 몇개 추천해주시면 감사하겠습니다 운명학의 의미와 목적에 대해서 알아봅시다 운명학작명학사주팔자명리학 성명학의 목적 이름의 유도력 알아봅시다 운명학작명학사주팔자명리학 성명 유도력 알아봅시다 운명학작명학사주팔자명리학 성명의 영동작용을 알아봅시다 운명학작명학사주팔자명리학 키워드를 나타내는 20자의 글 자신의 키워드 이름이 미치는 영향에 대해서 알아봅시다 작명학성명학사주팔자 운명학과 과학의 상관관계를 알아봅시다 운명학명리학사주팔자 성명학의 발달과 지향하는 방향을 알아봅시다 사주팔자명리학성명학 육갑법육십갑자법을 알아봅시다 사주팔자명리학작명학 오행의 상생상극법을 알아봅시다 상생상극명리학사주 간지의 상합상충법을 알아봅시다 상충지지합사주 간지의 색상을 알아봅시다 사주팔자명리학간지색상 간지 오행의 왕쇠를 알아봅시다 오행왕쇠간지천간지지 시주 정하는 법 야자시와 조자시를 알아봅시다 야자시조자시시주정하는법 육신법 육친법을 알아보기 육신법육친법사주팔자명리학 신살법 천을귀인 천덕귀인 월덕귀인 정록법 알아보기신살법 천을귀인천덕귀인월덕귀인정록법 역마살과 화개살 도화살 장성살 원진살 알아보기 역마살 화개살 도화살 장성살 원진살 고신살 과숙살양인살 괴강살 알아보기 82429530808243889982496919882444095824 고신살 과숙살 양인살 괴강살 궁합 보는 법에 대해서 알아보기 궁합 속궁합 겉궁합 고혼진 효능성분 후기판매처 알아보기 고혼진 효능 고혼진 후기 고혼진 주요성분 고혼진 판매처 330987849994959288808368498395895843480 고혼진 효능 고혼진 후기 고혼진 주요성분 고혼진 판매처 고혼진 모델 배우 김민정 알아보기고혼진모델고혼진화장품배우김민정 고혼진 화장품 가격 총정리 고혼진화장품고혼진기미크림고혼진마스크팩고혼진뉴트리션크림 생명공학이란 무엇인지 알아봅시다 생명공학과학정보 농업 생명공학이란 무엇인지 알아봅시다 농업생명공학생명공학과학정보 산업 생명공학이란 무엇인지 알아봅시다 산업생명공학생명공학과학정보 환경 생명공학이란 무엇인지 알아봅시다 환경생명공학생명공학과학정보 캠프파이어가 환경에 미치는 영향을 알아봅시다 캠프파이어환경오염과학정보 흡연이 건강에 미치는 정보를 알아봅시다 흡연건강정보 흡연이 환경오염에 미치는 영향을 알아봅시다 흡연 환경오염 가정용 태양광 발전기를 설치해야 하는 이유를 알아봅시다 태양열발전기과학정보 파도에너지의 장점을 알아봅시다 파도에너지에너지과학정보 파도에너지의 단점을 알아봅시다파도에너지에너지과학정보 대체에너지원을 알아봅시다 대체에너지에너지과학정보 수소에너지에 대해서 알아봅시다 수소에너지수소과학정보 양초가 환경오염에 미치는 영향 알아보기 양초향초양키캔들캔들환경오염 생리 컵을 사용해야 하는 5가지 이유 알아보기 생리컵 생리대 탐폰 프로판가스 장점 알아보기 프로판가스 프로판가스장점 부탄가스 환경오염의 7가지 유형 알아보기 환경오염대기오염수질오염소음공해 변기 뚜껑을 닫고 물 내려야 하는 이유 변기뚜껑 코로나19 화장실 써마셀 모기퇴치기 알아보기 써마셀 모기퇴치기 캠핑모기퇴치기캠핑
8,8,8,어딘가로 가서 누가 다시 입기도 하지만 어느 나라에서는 헌옷 쓰레기강 헌옷산 소가 풀대신 헌옷을 씹고 환경오염이 심각하네요 헌옷 플라스틱 등 이미 지구가 심각하게 병들었나 봅니다
9,9,9,전세계 다 합쳐도 중국 생산량의 절반밖에 안되네요 매장량은 다른 나라들도 많은데 이게 환경오염 유발하고 생산단가 낮출수 있는게 중국 선진국들은 사용량 대비 거의 생산 안하고 중국하고 호주가 그나마 많이 생산하네요 그래픽 세계 희토류 시장 현황 연합뉴스 20190529001200044
