,내용
0,더보이즈는 이제 초심을 잃었어 명품아니면 의상 취급도 안하고 일위 할때마다 눈물도 흘리지 않고 빠순이들이 앨범 장씩 사서 환경오염하는거 알면서도 밥먹고 물티슈 장씩 쓰고 정말 나빴어
1,각 지방 중공업단지에서 산재와 환경오염을 당하면서 올려보내는 외화로 풍요가 넘치는 서울 높은 빌딩에 둘러싸여 있는 낭만적인 대학교 캠퍼스에서 인문학 한다고 하는 문과 사람들은 정작 사회 돌아가는 구조 입에 밥넣어주는 구조
2,구제옷만 년째 사고있는 여성의팁 환경오염때문에 싸레기가 넘쳐나는지금 구제옷사는건 진짜 잘하는겁니다 개쓰레기잡유머에넘어가지말구 신조를 지켜주세요 만약 사고난뒤 가위에 눌린다면 침대밑에 가위나 칼을 두면 가위에
3,환경오염덜시킬라고
4,환경오염 에코라이프 시작 불쌍한 오리
5,요즘 이거사면환경오염이거사면쓰래기가몇 어쩌고저쩌고 실질적ㄱ으로 내가 환경에보탬되게하는거는 최대한안사려고하고일회용품안쓰려고하는건데 이상으로어떻게해야할까 나는소비욕구쩌는인간이라서 참는것도힘들다
6,맞아요 환경오염 심하다고 들었어요 전 취향 아니라서 안먹지만 더더 안먹게 되더라구요
7,기후정의를 말하다 기후변화 와 인종차별 은 맞닿은 문제 비즈트리뷴 마이크로소프트 측에 따르면 환경 불평등과 인종차별 간의 연관성은 세기에 일어난 환경오염 사례
8,마자요 타이밍이더리구요 환경오염보다는 좋아하는 사람한테 가는게 낫죠
9,겜스토리나애니나웹툰이나 영화나드라마나 질병이나 환경오염이나 암튼 이런저런 모종의이유로아포칼립스세계관된 파국스토리가 당기는구나
10,결국 싹다 버렸습니다 환경오염 하고 말았어요
11,포카라도 팔아야 돈이라도 남지 그냥 결국 종이 쓰레기만 남음 환경오염보다는 용돈벌이 하세요
12,환경오염 야구
13,이 커피박을 주목해야 하는 이유는 환경오염의 주범인 플라스틱만큼 중요하다 땅에 버려진 커피박이 메테인 이라는 온실가스를 뿜어내고 있기 때문이다 메테인은 이산화탄소지수 로 이산화탄소의 배에 육박하는
14,환경오염 기후변화 지구온난화의 근본적인 문제는 법을 똑바로 만들지 않았고 법을 똑바로 집행하지 않았기 때문이라고 못 박는다 결과적으로 인간세상의 문제를 인간세상에서 제대로 컨트롤 못 했기
15,테슬라가 돌연 결제중단 및 일론이 비트코인의 환경오염을 욕하자 비트코인은 퍼 하락장을 맞이합니다 그리고 블랙록은 바로 억원 어치의 비트코인 채굴장 주식을 사들였습니다 비트코인 시즌 끝났다고요 블랙록
16,바다에 술뿌리ㅕㄴ 환경오염 어닌가요
17,씹쌉못생긴 굿즈를 만들어서 환경오염에 기여하는 기업
18,환경오염
19,아 새만금 국제공항 반대 환경오염 종 보존 플래카드 만들어서 내건거 정의당이었구나 ㅋ
20,웹진림 소셜벤처허브 사회적기업 창업 오마이어스 지구 환경오염 기후변화 친환경 업사이클링 선한영향력
21,지구본 입니다 불타오릅니다 환경오염은 나쁜겁니다
22,오늘도 시원하게 환경오염
23,탈북자들의 증언에 따르면 지금 북한에서는 프랑스 쓰레기를 수입해서 각 가정에서 이 쓰레기를 연료나 화목을 대신해서 태워 쓴다고 합니다 그래서 북한에서는 이 태운 쓰레기에서 나는 연기가 그대로 공중에 뿌려져
24,꽊꽊 안모여 사니까 건물도 다 대체로 낮음 엘베도 많이 필요없음 아시아에 있는 공장들 주인 구미권 백인 오너 그런데 환경오염 발표하면서 동남아 수질오염 베이징 스모그 사진이런거 가져오면 이러면 쪼끔 꼴 받을 수
