내용,label
 .년 .월 당시 한국환경기술개발원이 낸 .휴.폐광된 금속광산 지역의 오염 관리대책.을 보면 용화광산 주변 토양의 중금속은 비오염 지역보다 비소가 .배. 높게 나타났다,-1
 광산 지역에서 . 떨어진 곳에서도 비소가 .배. 높았다,-1
 안내판에 .영풍.이란 이름에 주목한 건 이 기업의 석포제련소 환경오염 문제 때문이다,-1
 영풍광업은 .년 영양군 옆 봉화군 석포면 산골짜기에 이 제련소를 만들었다,0
 .년에야 일대 환경오염 문제가 알려졌다,-1
 영양군 용화광산에선 영풍이란 기업의 책임은 묻혔다,0
 언론 보도에도 문헌에도 잘 나오지 않는다,0
 영풍과 용화광산의 관계는 저 안내판 연혁에서만 찾을 수 있다,0
 용화광산 선광장 앞이 .일월 자생화공원.이다,0
 영양군은 .년부터 오염원을 매립하고 야생화를 심었다,0
 영양군 관계자는 .당시 영풍이 오염 피해 보상이나 자연복원 지원을 한 기록이 없다,0
고 말했다,0
 한때 흉물이자 환경오염 근원지가 자연복원 가치를 드러내는 상징 장소로 탈바꿈했다,0
 영양군은 보존한 선광장 꼭대기에 전망대도 만들었다,0
 전망대 맞은편이 일월산이다,0
 동학농민군이 여기 숨어들었다,0
 한말 의병장 신돌석의 주무대가 일월산이다,0
 이 일대는 빨치산의 최후 거점 중 한 곳이기도 했다,0
 은닉하거나 게릴라전을 펼치기 좋았던 건 일월산을 포함한 영양군 일대가 오지였기 때문이다,0
 오지는 .낙후.란 단어가 연상되면서 어감이 좋지 않지만 .해안이나 도시에서 멀리 떨어진 내륙의 깊숙한 땅.이란 뜻일 뿐이다,0
 오지의 지표 하나가 .응급의료 전용헬기 착륙장. 도로안내 표지판이다,0
 영양군 도로를 오가면 이 표지판이 하나씩 나타난다,0
 큰 병원이 주변에 없다,0
 도로는 주로 .차선이나 .차선이다,0
 .년 .월 기준 영양군 인구는 .만.명 전국 .개 시.군.구 중 영양군보다 인구가 적은 데는 울릉군.명 하나다,0
 사람이 적으니 오염원도 적다,0
 오지는 청정 자연 공간의 다른 이름이다,1
 경상도의 .봉화.영양.청송는 전라도의 .무진장.무주.진안.장수 강원도의 .영평정.영월.평창.정선과 함께 청정 지역을 대표하는 이름이 되어간다,0
 와 영평정의 영월은 외씨버선길로도 이어진다,0
 청정 공간을 그저 이룬 것은 아니다,1
 수몰 예정지 주민들이 .년 동안 반대 운동을 벌이며 영양댐 건설을 막아냈다,-1
 .물 수요에 따라 댐을 건설하려 했다기보다 댐 건설 자체를 정해놓고 물 쓸 곳을 찾는다,-1
는 비판을 받았다,0
 주민들은 .군민을 물속에 넣으면서까지 정치를 해야만 하나요.라고 적은 현수막을 내걸기도 했다,0
 정부는 .년 댐 건설을 백지화했다,0
 수몰 위기에 빠질 뻔한 게 검마산과 백암산에서 발원해 죽파리와 기산리 대산골 송하리를 거쳐 낙동강으로 흐르는 장파천이다,0
 영양 하면 수하계곡이 유명한데 장파천의 수려함도 못지않다,0
 죽파리 쪽 장파천은 .영양 자작도.라 불리는 . 규모의 자작나무 숲죽파리 산.으로 이어진다,0
 영양 자작나무 숲 곁으론 계곡이 흐른다,0
 숲길은 평탄하다,0
 영양 자작나무 숲. . 면적에 .년된 나무들이 들어섰다,1
 맞은편 일월산은 게릴라전 적소휴대폰 신호 못 잡는 자작나무 숲그 숲길 따라 흐르는 .죽파계곡.순수.의 정서 느낄 청정 자연 공간 자작나무와 자작나무 숲. 코로나. 사태 이전까지 사회관계망서비스를 달군 열쇳말 중 하나다,1
 .산림관광지로서 인제 자작나무 숲에 대한 소셜미디어 이용자 인식 연구.를 보면 자작나무 숲 방문객은 늘어난다,0
 .아름답다,1
 .좋다,1
 .가다,0
 .보다,0
 .사진. 같은 단어 출현 빈도가 높다,0
 자작나무만 분류하면 .스피커. .인테리어. 같은 단어도 뜬다,0
 천마총 천마도의 캔버스가 자작나무다,0
 기름 성분이 많다,0
 .화촉.이 자작나무 껍질로 만든 초다,0
 숲은 또 어떤가. 자작나무 숲은 여러 정서를 일으킨다,0
