,내용
0,진짜 그 많은 앨범 다 환경오염임 백장씩 사봤자 그거 다 필요도 없는데
1,김짱준이 에어팟 개 질릴 때마다 인천앞바다에 집어 던지며 엉엉 우는 아방재벌수인것도 아니고 서른세개의 에어팟 자선기부 보다 경유차 매연이 더욱 심각한 환경오염 주범이라는 점 아무래도 따릉이 정기이용권 끊고 열심히 발전기 돌
2,진짜미친새끼같다생리대에돌돌감싸서저멀리바다에던져버리고싶은데환경오염이니까그냥불태워버리고싶다
3,아 저도 좀 보고싶긴 한데 아무래도 오타쿠 영화가 아니고서는 코로나시대에 두문분출 ㅎㅎ 해버렸죠 전 소재에도 흥미를 잘 못느끼겠어요 야 유령이 두렵냐 나는 인플레이션 시대의 내
4,언론탄압 이라길래 곰곰히 생각해봤다 언론이 있어야 탄압도 할게아니냐 그래서 오해없도록 법안이름을 바꿀것을 권한다 폐지재생에 관한 고물법과 환경오염에 대한 고물업자 처벌법
5,근데 진짜 앨범 버전 너무 많은거 환경오염이야 너무 보기 괴로움
6,미니백 빼고 포카만 해도 살텐데 진짜 환경오염의 주범
7,ㄹㅇ 환경오염 개쩖 포카만 따로 팔아줘잉 포카만 따로 팔아도 욕 안할게
8,아하 하긴 아 환경오염버전너무웃기다 속죄하며 도브 뷰티바나 계속쓰겠습니다 플라스틱아웃
9,진짜요 요즘 오히려 환경오염 일으키는데 일조하는게 다름아닌 에코백 텀블러
10,그러나 그들이 친환경을 주제로 제공하는 에코백과 텀블러는 정말 역설적이게도 최근 환경오염을 일으키는데 적지 않은 영향을 미친다고함 에코백 개당 최소 번은 메고 다녀야 텀블러는 개당
11,시발 이게 영어시간이냐 환경오염 캠페인이냐시불
12,뢰알 환경오염 걱정될만큼 쓰레기 많이나와
13,이 커피박을 주목해야 하는 이유는 환경오염의 주범인 플라스틱만큼 중요하다 땅에 버려진 커피박이 메테인 이라는 온실가스를 뿜어내고 있기 때문이다 메테인은 이산화탄소지수 로 이산화탄소의 배에 육박하는
14,ㄱㄴㄲ 환경오염 적당히할필요가잇음
15,환경오염 끝판왕 탈염색도 수십번을 했겠지요 그분은 방구도 뀌고 트름도 하고 파마에 탈염색에 다하면서 에어팟 개 잃어버린거고 진짜 보는 내가 답답하네
16,솔직히 아무리 그이가 내 남편이라고 해도 환경오염의주범으로 욕먹는건 좀 부끄럽네요 제남편에게ㅜ앞으론 앨범을 가상으로 내가지고 아이패드로 쓸수있게끔 조절하도록 하겠습키다 한남자의 아내로써 최선을 다할게요
17,알엠한테 환경오염이라 한 마디 해서 여태 처맞음
18,물 그만 마시세요 환경오염 된다고요
19,니 휴대폰 사용하면서 이런 글 싸질러대는 거가 더 환경오염 되는듯
20,방탄 팬들이 한강에 나무 천그루 심으면 뭐하노 알엠은 에어팟 개나 잃어버리고 환경오염시키는데 재미로 방탄 까는 거 아님 진심으로 화나서 그럼 씨발 나는 분리수거도 광적으로 하고 스벅 종이빨때 물에 녹아서 빵꾸나도 그
21,나는 환경오염보다 랩몬이 더 걱정됨 한두개도아니고 개 잃어버린거면 어디 문제있는거아냐
22,환경오염방지를위한 철저한 지자체의 관리 감독이 잘이뤄질수 있어야 할것입니다 충남도의 깨끗한 자연환경을 잘지켜내는것에도 신경써주시길바랍니다
23,무엇보다 플라스틱 케이스라는게 싫음 안그래도 덕질이 곧 환경오염인데 플라스틱까지
24,나 그것도 싫어함 앨범 존나 사재끼기 하는 거 그거 어차피 듣지도 않고 다 버릴 거짆아 나 아이돌 좋아할 때도 앨범은 딱 한 장씩만 삿는데 환경오염 좆됨 레알
25,안녕하십니다 베스타가 나온지 억년 뒤의 미래에서 온 미래인입니다 청홍님을 기다리던 지구는 환경오염 끝에 안타깝게도 멸망했습니다
26,에어팟 개잃어버렸다는소리를 보면 보통 와 되게 덜렁대나보다 개 살만큼 돈이많은가보다 라고 생각하지않나 갑자기 환경오염얘기가 왜나오는겅미 뭐 그렇게 생각하는건 당연히 자기자유지만 그 생각을 노
27,랩몬씨는 앞집 아줌마도 하고 옆집 할아버지도 하고 윗집 청년도 하고 살아숨쉬는 모든 인간들도 하는 환경오염 을 했지만 피해 당사자 지구 가 사과를 받지 않았고 용서를 하지 않았으므로 그리구 한 번 잃어버리는데에서 멈추
28,엥 에어팟 잃어버림게 왜 그렇게 욕 쳐먹늘 일임 ㅅㅂ 나는 일주일만에 하나 잃어버리고 존나 심장 벌렁이면서 다시 샀는디 존나 부럽기만하구만 환경오염 ㅇㅈㄹ
29,차라리 플라스틱 이용 안할시 예를들면 빨대라거나 텀블러에담아가기 만 했음 좋겠다 에코백 나오기시작했을때 한 년 지나고 에코백이 남아돌아 환경오염을시킨다는 기사가 나온적이 있는데 대충 지금부터 한 년
30,모든 판에 시세차이있지안나 니 숨쉬는것도 환경오염임
31,하루에 물 리터 마신다고 환경오염
32,개 잃어버릴 수 있지 능력되면 계속 살 수 있지 환경오염을 뭐 매번 신경쓸 수는 없는 노릇이긴하지 하지만 뭐가 자랑이라고 나이찬 성인이 개씩이나 주구장창 잃어버리고 사고를 반복했고 그걸 또 지 입으로 말하는 바람에 내
33,잃어버리고 싶어서 잃어버린것도 아니고 왜 그러세요 그리고 구지 알엠으로 예를 들어야 하나요 혼자 환경오염 시키는것도 아니고 인간이 숨 쉬는것만으로도 환경오염이 되는데 말이에요 본인도 지금 환경오염 시키고 계세요
34,파마 하지마세요 환경오염임 베르사이유의 장미 같은 환경운동가님
35,자신이 환경오염이라는 기부 도 안하신 입만 산 환경 운동가님
